default,Identifier,Remarks,Filter,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr,tr
,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,
Press a key.,PRESSKEY,,,,Stiskni klávesu.,Tryk på en tast.,Drücke eine Taste,Πάτα οποιοδήποτε πλήκτρο.,Premu klavon.,Presiona una tecla.,,Paina jotain näppäintä.,Appuyez sur une touche.,Nyomjon meg egy gombot.,Premi un tasto.,何かキーを押せ,키를 누르시오.,Druk op een toets.,Trykk på en tast.,Wciśnij dowolny klawisz.,Aperte uma tecla.,Carrega numa tecla qualquer.,Apasă o tastă.,Нажмите любую клавишу.,Притисните било који тастер.,Bir tuşa bas.
A secret is revealed!,SECRETMESSAGE,,,,Nalezl[@ao_cs] jsi skrýš!,En hemmelighed bliver afsløret!,Ein Geheimnis wurde enthüllt!,Ένα μυστικό αποκαλύφθηκε!,Sekretejo estas malkaŝita!,¡Se ha revelado un secreto!,,Sala löydetty!,Vous avez découvert un secret!,Egy rejtekhely feltárva!,È stato svelato un segreto! ,シークレットを解き明かした!,비밀 발견!,Een geheim is onthuld!,En hemmelighet er avslørt!,Znaleziono sekret!,Segredo revelado!,,Ai găsit un secret!,Обнаружен тайник!,Откривена тајна!,Bir sır açığa çıkıyor!
"Useless mode ON.
",D_DEVSTR,,,,Zbytečný režim ZAP.,Ubrugelig tilstand slået til.,Nutzloser Modus EIN.,Άχρηστη λειτουργία είναι ΑΝΟΙΧΤΗ,Senutila reĝimo ŜALTITA.,"Modo inútil ACTIVADO.
",,Hyödytön tila PÄÄLLÄ.,"Mode inutile ON.
",Haszontalan mód BE.,"Modalità inutile ATTIVATA.
",このモードは使わないでおけ,쓸모없는 모드 켬.,Nutteloze modus AAN.,"Ubrukelig modus PÅ.
",Tryb bezużyteczny WŁĄCZONY.,"Modo inútil ATIVADO.
",,Modul inutil ACTIVAT.,Бесполезный режим ВКЛЮЧЁН.,Програмерски режим УКЉУЧЕН.,"Yararsız mod AÇIK.
"
"Are you sure you want to
quit this great game?",QUITMSG,,,,"Jsi si jist@[adj_cs], že chceš opustit tuto skvělou hru?","Er du sikker på, at du vil forlade
dette fantastiske spil?","Willst du dieses großartige Spiel
wirklich beenden?",Είσαι σίγουρος ότι θέλεις να κλείσεις αυτο το σπουδαίο παιχνίδι;,"Ĉu vi certas, ke vi volas mallanĉi
ĉi tiun bonegan ludon?","¿Estás segur@[ao_esp] de que
deseas salir de este juegazo?",,Haluatko varmasti lopettaa tämän mahtavan pelin?,"Voulez-vous vraiment 
quitter cet excellent jeu?","Biztosan kilépnél ebből
a nagyszerű játékból?","Sei sicuro di volere uscire
da questo grandioso gioco?","本当にこの素晴らしい運命を
終わらせるのですね?",진짜 이 개쩌는 게임을 꺼버릴려고?,"Weet je zeker dat je wilt stoppen 
met dit geweldige spel?",Er du sikker på at du vil avslutte dette flotte spillet?,"Czy na pewno chcesz
wyjść z tej świetnej gry?","Deseja mesmo sair
deste excelente jogo?","Tem a certeza que deseja sair 
deste excelente jogo?",Ești sigur că vrei să ieși din acest joc grozav?,"Ты действительно хочешь выйти
из этой замечательной игры?",Желиш ли заиста да изађеш из ове чудесне игре?,Bu harika oyunu bırakmak istediğine emin misin?
"You can't do load while in a net game!

Press a key.",LOADNET,"In some languages, it may make more sense to translate “Press a key” as “Press any key.”",,,"Během síťové hry nelze načíst hru!

Stiskni libovolnou klávesu.","Du kan ikke indlæse, mens du er i et netspil!

Tryk på en tast.","Du kannst während eines Netzwerkspiels keinen Spielstand laden.

Drücke eine Taste","Δέν μπορίς να φορτώσεις σε ένα δικτυακό παιχνίδι !

Πάτα οπιοδήποτε πλήκτρο.","Vi ne povas ŝargi dum retludado!

Premu klavon.","¡No puedes cargar una partida mientras juegas en línea!

Presiona una tecla.",,"Et voi ladata verkkopelin aikana!

Paina jotain näppäintä.","Impossible de charger une partie
pendant un jeu en réseau!

Appuyez sur une touche.","Nem tudsz betölteni miközben net játékban vagy!

Nyomj meg egy gombot.","Non puoi caricare una partita durante una partita in rete!

Premi un tasto.","オンラインプレイでは ロードできない!

何かキーを押せ
","멀티플레이 중엔 게임을 불러올 수 없습니다!

키를 누르시오.","Je kunt niet laden tijdens een netwerkspel!

Druk op een toets.","Du kan ikke laste mens du er i et nettspill! 

Trykk på en tast.","Nie możesz wczytać podczas gry sieciowej!

Wciśnij dowolny klawisz.","Impossível carregar um jogo durante uma partida em rede!

Aperte uma tecla.","Não pode carregar um jogo durante um jogo em rede!

Carrega numa tecla qualquer.","Nu poți face o încărcare în timpul unui joc în rețea!

Apasă orice tastă.","Невозможно загрузить сохранение в сетевой игре!

Нажмите любую клавишу.","Не можете да учитате чување током мрежне игре!

Притисните тастер.",Bir ağ oyunundayken yükleme yapamazsınız! Bir tuşa basın.
"You can't quickload during a netgame!

Press a key.",QLOADNET,,,,"Během síťové hry nelze rychle načíst hru!

Stiskni libovolnou klávesu.","Du kan ikke quickloade under et netspil!

Tryk på en tast.","Du kannst während eines Netzwerkspiels nicht schnellladen.

Drücke eine Taste","Δέν μπορίς να κάνεις γρήγορη φόρτωση σε ένα δικτυακό παιχνίδι !

Πάτα οποιδήποτε πλήκτρο.","Vi ne povas rapidŝargi dum retludado!

Premu klavon.","¡No puedes cargar un guardado rápido mientras juegas en línea!

Presiona una tecla.",,"Et voi pikaladata verkkopelin aikana!

Paina jotain näppäintä.","Chargement Rapide impossible
pendant un jeu en réseau!

Appuyez sur une touche.","Nem tudsz gyorstölteni miközben net játékban vagy!

Nyomj meg egy gombot.","Non puoi fare un quickload durante una partita in rete!

Premi un tasto.","オンラインプレイでは ロードできない!

何かキーを押せ","멀티플레이 중엔 빠른 불러오기를 할 수 없습니다!

키를 누르시오.","Je kunt niet snelladen tijdens een netwerkspel!

Druk op een toets.","Du kan ikke hurtiglaste under et nettspill! 

Trykk på en tast.","Nie możesz użyć szybkiego wczytania podczas gry sieciowej!

Wciśnij dowolny klawisz.","Impossível carregar um jogo rapidamente durante uma partida em rede!

Aperte uma tecla.","Não pode carregar um quickload durante um jogo em rede!

Carrega numa tecla qualquer.","Nu poți face o încărcare rapidă în timpul unui joc
în rețea!

Apasă orice tastă.","Невозможно загрузить быстрое сохранение в сетевой игре!

Нажмите любую клавишу.","Не можете да учитате брзо чување током мрежне игре!

Притисните тастер.","Bir ağ oyunu sırasında hızlı yükleme yapamazsınız!
Bir tuşa basın."
"You haven't picked a quicksave slot yet!

Press a key.",QSAVESPOT,,,,"Ještě nebyl vybrán slot pro rychlé uložení!

Stiskni libovolnou klávesu.","Du har endnu ikke valgt en quicksave-post!

Tryk på en tast.","Du hast noch keine Schnellspeicherposition gewählt.

Drücke eine Taste","Δέν έχεις επιλέξει μια θυρίδα γρήγορης αποθήκευσεις ακόμα!

Πάτα οποιδήποτε πλήκτρο.","Vi ankoraŭ ne elektis rapidkonservujon!

Premu klavon.","¡No has seleccionado una ranura de guardado rápido!

Presiona una tecla.",,"Et ole vielä valinnut pikatallennuslokeroa!

Paina jotain näppäintä.","Vous n'avez pas choisi un
emplacement de sauvegarde!

Appuyez sur une touche.","Nem választottál ki egy gyorsmentés mezőt még!

Nyomj meg egy gombot.","Non hai ancora scelto uno slot per il quicksave!

Premi un tasto.","オンラインプレイでは セーブできない!

何かキーを押せ","멀티플레이 중엔 빠른 저장을 할 수 없습니다!

키를 누르시오.","Je hebt nog geen sneloplagplek gekozen!

Druk op een toets.","Du har ikke valgt en hurtiglagringsplass ennå! 

Trykk på en tast.","Nie wybrano jeszcze miejsca do szybkiego zapisu!

Wciśnij dowolny klawisz.","Você ainda não escolheu um espaço de salvamento rápido!

Aperte uma tecla.","Você ainda não escolheu um slot de quicksave!

Carrega numa tecla qualquer.","Nu ai ales un slot pentru încărcare rapidă încă!

Apasă orice tastă.","Не выбран слот быстрого сохранения!

Нажмите любую клавишу.","Нисте још изабрали слот за брзо чување!

Притисните тастер.","Henüz bir hızlı kaydetme yuvası seçmediniz!
Bir tuşa basın."
"You can't start a new game
while in a network game.

Press a key.",NEWGAME,,,,"Během síťové hry nelze začít novou hru.

Stiskni libovolnou klávesu.","Du kan ikke starte et nyt spil
mens du er i et netspil.

Tryk på en tast.",Du kannst während eines Netzwerkspiels kein neues Spiel starten.,"Δέν μπορείς να ξεκινήσεις ένα νέο παιχνίδι ενώ εισαι σε ένα δικτυακό παιχνίδι.

Πάτα οποιδήποτε πλήκτρο.","Vi ne povas lanĉi novan ludon dum retludo.

Premu klavon.","No puedes iniciar una nueva partida mientras estás jugando en línea.

Presiona una tecla.",,"Et voi aloittaa uutta peliä verkkopelin aikana.

Paina jotain näppäintä.","Vous ne pouvez pas lancer
une nouvelle partie en réseau.

Appuyez sur une touche.","Nem tudsz egy új játékot kezdeni 
egy hálozatos játékban.

Nyomj meg egy gombot.","Non puoi iniziare una nuova partita
durante una partita in rete.

Premi un tasto.","オンラインプレイでは勝手にニューゲームは
始められない!

何かキーを押せ","멀티플레이 중엔 새로운 게임을 시작할 수 없습니다.

키를 누르시오.","Je kunt geen nieuw spel starten 
wanneer je in een netwerkspel zit.

Druk op een toets.","Du kan ikke starte et nytt spill mens du er i et nettverksspill. 

Trykk på en tast.","Nie możesz zacząć nowej gry
podczas gry sieciowej.

Wciśnij dowolny klawisz.","Impossível iniciar um novo jogo
durante uma partida em rede.

Aperte uma tecla.","Não podes iniciar um novo jogo
durante um jogo em rede.

Carrega numa tecla qualquer.","Nu poți începe un joc nou în timpul unui joc în
rețea.

Apasă orice tastă.","Невозможно начать новую игру
при активной сетевой игре.

Нажмите любую клавишу.","Не можете да започнете
нову игру током мрежне игре.

Притисните тастер.","Bir ağ oyunundayken yeni bir oyun başlatamazsınız.
Bir tuşa basın."
"Are you sure? This skill level
isn't even remotely fair.

Press Y or N.",NIGHTMARE,,,,"Jsi si jist? Tato úroveň obtížnosti není ani trochu fér.

Stiskni Y nebo N.","Er du sikker? Dette færdighedsniveau er ikke engang tilnærmelsesvis fair.

Tryk på Y eller N.","Bist du sicher? Dieser Schwierigkeitsgrad ist 
nicht einmal annähernd fair.

Drücke Y oder N.","Είσαι σίγουρος ? Αυτό το επίπεδο δυσκολίας δεν είναι καθόλου δίκαιη.

Πάτα Y ή N","Ĉu vi certas? Ĉi tiu malfacileco
ne estas eĉ iomete justa.

Premu Y aŭ N.","¿Estás segur@[ao_esp]? Este nivel de dificultad
no es ni remotamente justo.

Presiona Y o N.",,"Oletko varma? Tämä vaikeustaso ei ole edes vähääkään reilu.

Paina Y tai N.","Vous êtes sur? Ce niveau de
difficulté est vraiment impitoyable!

Appuyez sur Y ou N.","Biztos vagy benne? Ez a nehézségi szint 
távolról sem fair.

Nyomj Y-t vagy N-t.","Sei sicuro? Questo livello di difficoltà
è dannatamente difficile.

Premi Y oppure N.","本気か? このスキルは
マトモな状態ではないぞ。

Y か N で答えろ","진심입니까? 이 난이도는 매우 어렵습니다.

Y키 또는 N키를 누르시오.","Weet je het zeker? Dit moeilijkheidsniveau
is niet eens eerlijk.

Druk op Y of N.","Er du sikker? Dette ferdighetsnivået
er ikke i det hele tatt rettferdig.

Trykk på Y eller N.","Czy jesteś pewien? Ten poziom umiejętności
nie jest nawet bliski sprawiedliwego.

Wciśnij Y lub N.","Tem certeza? Este nível de dificuldade
não é nem um pouco justo.

Aperte Y ou N.","Tem a certeza? Este nível de dificuldade
está longe de ser um pouco justo.

Carrega Y ou N.","Ești sigur? Acest nivel de dificultate nu e nici pe
departe cinstit.

Apasă Y sau N.","Уверены? Этот уровень сложности
даже отдалённо не честен.

Нажмите Y или N.","Сигурни сте? Овај ниво тежине
није нимали фер.

Притисните Y или N.","Emin misiniz? Bu beceri seviyesi
hiç adil değil.

Y veya N'ye basın."
"This is the shareware version of Doom.

You need to order the entire trilogy.

Press a key.",SWSTRING,,,,"Toto je shareware verze Dooma.

Musíš si objednat celou trilogii.

Stiskni libovolnou klávesu.","Dette er shareware-versionen af Doom.

Du skal bestille hele trilogien.

Tryk på en tast.","Dies ist die Shareware-Version von Doom.

Hierfür musst du die komplette Trilogie bestellen.

Drücke eine Taste","Αυτή είναι η Shareware έκδοση του Doom.

Πρέπει να παραγγείλετε την ολόκληρη τριλογία.

Πάτα οποιδήποτε πλήκτρο.","Ĉi tiu estas la propagaĵa versio de Doom.

Vi bezonas mendi la tutan trilogion.

Premu klavon.","Esta es la versión demo (shareware) de Doom.

Necesitas adquirir la trilogía completa.

Presiona una tecla.",,"Tämä on Doomin shareware-versio.

Sinun on tilattava koko trilogia.

Paina jotain näppäintä.","Votre version de DOOM est une version SHAREWARE.

Pensez à commander la version complète!

Appuyez sur une touche.","Ez a Doom shareware verziója.

Rendeld meg az egész trilógiát!

Nyomj meg egy gombot.","Questa è la versione shareware di doom.

Devi ordinare la trilogia completa.

Premi un tasto.","これは体験版だ。
わかったら本体を買え。

キーを押せば戻るぞ。","이 게임은 셰어웨어 버전입니다.

전 3편을 플레이하기 위해서는 구매가 필요합니다.

키를 누르시오.","Dit is de shareware versie van Doom.

Je moet de hele trilogie bestellen.

Druk op een toets.","Dette er shareware-versjonen av Doom.

Du må bestille hele trilogien.

Trykk på en tast.","To jest wersja demonstracyjna Doom.

Musisz kupić całą trylogię.

Wciśnij dowolny klawisz.","Esta é a versão shareware de DOOM.

Você precisa obter a trilogia completa.

Aperte uma tecla.","Esta é a versão shareware de Doom.

Precisas de obter a trilogia completa.

Carrega numa tecla qualquer.","Aceasta este versiunea gratuită a jocului Doom.

Trebuie să comanzi întreaga trilogie.

Apasă orice tastă.","Это условно-бесплатная версия Doom.

Вам необходимо приобрести всю трилогию.

Нажмите любую клавишу.","Ово је демонстрациона верзија Doom-а.

Потребно је да наручите целу трилогију.

Притисните било који тастер.",Bu Doom'un shareware versiyonu. Tüm üçlemeyi sipariş etmeniz gerekiyor. Bir tuşa bas.
"You can't end a netgame!

Press a key.",NETEND,,,,"Síťovou hru nelze ukončit!

Stiskni libovolnou klávesu.","Du kan ikke afslutte et netspil!

Tryk på en tast.","Du kannst ein Netzwerkspiel nicht beenden.

Drücke eine Taste.","Δέν μπορείς να τελειώσεις ένα δικτυακό παιχνίδι!

Πάτα οποιδήποτε πλήκτρο.","Vi ne povas fini retludadon!

Premu klavon.","¡No puedes terminar una partida en línea!

Presiona una tecla.",,"Et voi päättää verkkopeliä!

Paina jotain näppäintä.","Vous ne pouvez pas mettre fin à une partie en réseau!

Appuyez sur une touche.","Nem tudsz befejezni egy netjátékot!

Nyomj meg egy gombot.","Non puoi terminare una partita in rete!

Premi un tasto.","オンラインプレイでは勝手に終了できない!

何かキーを押せ","멀티플레이를 종료할 수 없습니다!

키를 누르시오.","Je kunt een netwerkspel niet beëindigen!

Druk op een toets.","Du kan ikke avslutte et nettspill!

Trykk på en tast.","Nie możesz zakończyć gry sieciowej!

Wciśnij dowolny klawisz.","Impossível encerrar um jogo em rede!

Aperte uma tecla.","Não podes terminar um jogo em rede!

Carrega numa tecla qualquer.","Nu poți încheia brusc o sesiune în rețea!

Apasă orice tastă.","Невозможно закончить сетевую игру!

Нажмите любую клавишу.","Не можете да завршите мрежну игру!

Притисните било који тастер.",Net oyununu bitiremezsin! Bir tuşa basın.
"Are you sure you want to end the game?

Press Y or N.",ENDGAME,,,,"Opravdu si přeješ ukončit hru?

Stiskni Y nebo N.","Er du sikker på, at du ønsker at afslutte spillet?

Tryk på Y eller N.","Willst du das Spiel wirklich beenden?

Drücke Y oder N.","Είσαι σίγουρος ότι θέλεις να τελειώσεις το παιχνίδι?

Πάτα Y ή N","Ĉu vi certas, ke vi volas fini la ludon?

Premu Y aŭ N.","¿Estás segur@[ao_esp] de que deseas cerrar el juego?

Presiona Y ó N.",,"Haluatko varmasti päättää pelin?

Paina Y tai N.","Voulez vous mettre fin à votre partie?

Appuyez sur Y ou N.","Biztosan abbahagyod a játékot?

Nyomj Y-t vagy N-t.","Sei sicuro di voler terminare la partita?

Premi Y oppure N.","本当にゲームを中断するのか?

Y か N で答えろ","게임을 정말로 종료하시겠습니까?

Y키 또는 N키를 누르시오.","Weet je zeker dat je het spel wilt beëindigen?

Druk op Y of N.","Er du sikker på at du vil avslutte spillet? 

Trykk på Y eller N.","Czy jesteś pewien że chcesz zakończyć grę?

Wciśnij Y lub N","Deseja mesmo encerrar este jogo?

Aperte Y ou N.","Tem certeza que deseja fechar este jogo?

Carrega Y ou N.","Ești sigur că dorești să închei jocul?

Apasă Y sau N.","Вы действительно хотите закончить игру?

Нажмите Y или N.","Желите ли сигурно да завршите игру?

Притисните Y или N.",Oyunu bitirmek istediğinizden emin misiniz? Y veya N'ye basın.
Are you sure you want to quit?,RAVENQUITMSG,,,,Přeješ si odejít?,"Er du sikker på, at du vil holde op?","Bist du dir sicher, dass du gehen willst?","Είσαι σίγουρος ότι θέλεις να φύγεις?
","Ĉu vi certas, ke vi volas forlasi?",¿Estás segur@[ao_esp] de que quieres salir?,,Haluatko varmasti lopettaa?,Êtes vous sûr de vouloir quitter ?,Biztosan ki akarsz lépni?,Sei sicuro di voler abbandonare?,本当に終了するのか?,정말 종료하시겠습니까?,Weet je zeker dat je wilt stoppen?,Er du sikker på at du vil avslutte?,Czy jesteś pewien że chcesz wyjść?,Deseja mesmo sair?,Tens a certeza que queres sair?,Ești sigur că vrei să ieși din joc?,Вы действительно желаете выйти?,Желите ли сигурно да изађете?,Çıkmak istediğinizden emin misiniz?
Only available in the registered version,SWSTRING,,heretic,,Dostupné pouze v registrované verzi,Kun tilgængelig i den registrerede version,Nur in der registrierten Version verfügbar,Μόνο διαθέσιμο στήν εχγραμμένη έκδοση.,Nur havebla en la komercaĵa versio,Solo disponible en la versión registrada,,Käytettävissä vain rekisteröidyssä versiossa,Disponible uniquement dans la version enregistrée,Csak a teljes verzióban érhető el,Disponibile solamente nella versione registrata,製品版でのみ可能だ。,정품 버전에서만 가능합니다,Alleen beschikbaar in de geregistreerde versie,Bare tilgjengelig i den registrerte versjonen,Dostępne tylko w zarejestrowanej wersji,Disponível somente na versão registrada,Apenas disponível na versão registrada,Disponibil doar în versiunea înregistrată.,Эпизод доступен только в полной версии,Само могуће у регистрованој верзији,Sadece kayıtlı sürümde mevcuttur
(Press Y to quit),DOSY,,,,(Stiskni Y pro odchod),(Tryk på Y for at afslutte),(Drücke Y zum Verlassen.),(Πάτα Y για να φύγεις),(Premu Y por forlasi),(Presiona Y para salir),,(Paina Y lopettaaksesi),(Appuyez sur Y pour revenir à votre OS.),(Nyomj Y-t a kilépéshez.),(Premi Y per uscire),(Y で終了),(Y을 누르시면 종료합니다),(Druk op Y om te stoppen),(Trykk Y for å avslutte),"(Wciśnij Y, aby wyjść)",(Aperte Y para sair),(Carrega Y para sair),(Apasă Y pentru a ieși),"(нажмите Y, чтобы выйти)",(Притисните Y да завршите),(Çıkmak için Y'ye basın)
,,Quit messages,,,,,,,,,,,,,,,,,,,,,,,,
"Please don't leave, there's more
demons to toast!",QUITMSG1,,,,"Nenechávej mě tu, je tu
víc démonů k vymletí!","Du må ikke gå, der er flere
dæmoner at stege!!","Bitte gehe nicht, es gibt noch mehr
Dämonen zu erlegen.","Παρακαλώ μη φύγεις, υπάρχουνε περισσότεροi δαίμονες να ψήσεις!","Bonvolu ne foriri, estas pliaj
rostindaj demonoj!","¡Por favor no te vayas, que
hay más demonios para freír!",,Älä lähde; demoneita on vielä kärvennettävänä!,"Ne partez pas, il ya encore
des démons a buter!","Kérlek ne lépj le, sok démon vár még arra, hogy felaprítsd!","Per favore non uscire, ci sono altri
demoni da ammazzare!","離れないでくれ!
まだ獲物が残っているんだ!","부디 나가지 말아줘, 아직 죽여야 할 악마들이 남아있단 말이야!","Ga alsjeblieft niet weg, er zijn meer demonen te roosteren!","Vennligst ikke gå, det er flere demoner å skåle!","Proszę, nie odchodź, jest więcej
demonów do stostowania!","Por favor, não vá embora. Tem mais
demônios para torrar!","Por favor não te vás embora, há mais
demônios para matar!","Te rog nu ieși, mai sunt demoni care trebuie prăjiți!","Пожалуйста, не уходи,
тут ещё полно демонов для поджарки!","Молим те, не одлази!
Има још демона да се побије!","Lütfen gitmeyin, kadeh kaldıracak daha çok iblis var!"
"Let's beat it -- this is turning
into a bloodbath!",QUITMSG2,,,,"Utečme -- začíná
tu téct krev!","Lad os smutte - det her er
ved at blive et blodbad!",Lass es uns beenden - das wird zu einem Blutbad,Πάεμε να φύγουμε -- έχει γίνει σφαγίο εδώ!,"Ni forlasu, ĉi tio iĝas
sangoverŝado!","Aceptémoslo, ¡esto se está
convirtiendo en un baño de sangre!",,Häivytään -- tämä on muuttumassa verilöylyksi!,"Fichons le camp, ça dégénère
en bain de sang!","Tűnjünk innen, ebből vérfürdő lesz!","Ammettiamolo - tutto ciò si sta
trasformando in un bagno di sangue!","まだ物足りないだろう?
早く戻って皆殺しにしろ!",그냥 나가자고- 유혈사태가 곧 시작될 것 같으니!,Laten we ervoor gaan - dit wordt een bloedbad!,La oss stikke - dette er i ferd med å bli et blodbad!,Zmywajmy się stąd -- robi się tu rzeźnia!,"Vamos embora — isso tá virando 
um banho de sangue!","Falando a sério -- Isto está se a tornar
num banho de sangue!","S-o lăsăm baltă -- situația degenerează într-o
baie de sânge!","Давай покончим с этим — оно превращается
в кровавую баню!","Хајде, бриши одавде
ако ти је ово одвећ крваво!","Hadi gidelim, ortalık kan gölüne dönüyor!"
"I wouldn't leave if I were you.
DOS is much worse.",QUITMSG3,,,,"Být tebou, neodcházel bych.
DOS je mnohem horší.","Jeg ville ikke gå, hvis jeg var dig.
DOS er meget værre.","Ich würde nicht gehen, wenn ich du wäre.
DOS ist viel übler.","Δέν θα έφευγα αμμα είμουνα εσύ.
Το DOS είναι πολύ χυρότερο.","Mi ne forirus, se mi estus vi.
DOS estas multe pli malbona.","No me iría si fuera tú.
MS-DOS es mucho peor.",,Sinuna en lähtisi. DOS on paljon pahempi.,"Je ne quitterais pas si j'étais vous.
Votre OS est bien pire.","A helyedben nem lépnék ki.
A DOS sokkal rosszabb.","Non uscirei se fossi in te.
Il DOS è molto peggio.","俺がお前だったらここは離れない。
デスクトップなぞ最悪だ。",만약 내가 너였다면 나가지 않았을 거야. DOS는 정말 최악이거든.,Ik zou niet weggaan als ik jou was. DOS is veel erger.,Jeg ville ikke dratt hvis jeg var deg. DOS er mye verre.,"Na twoim miejscu nie odchodziłbym.
DOS jest o wiele gorszy.","Eu não sairia se fosse você.
O DOS é bem pior.","Se fosse a ti não saia daqui.
O DOS é bem pior.","Eu n-aș pleca în locul tău - sistemul DOS e mult 
mai rău.","На твоём месте я бы не уходил.
DOS намного скучнее.","Да сам на твом месту, не бих одлазио.
DOS је много досаднији.",Yerinde olsam gitmezdim. DOS çok daha kötü.
"You're trying to say you like DOS
better than me, right?",QUITMSG4,,,,"Chceš mi říct, že máš
radši DOS než mě?","Du prøver at sige, at du bedre
kan lide DOS end mig, ikke?","Willst du sagen, dass DOS
besser ist als ich?","Προσπαθείς να πείς οτι το DOS είναι καλήτερο απο εμένα, σωστά?","Vi provas diri, ke DOS
estas pli bona ol mi, ĉu?","Estás tratando de decir que el
MS-DOS es mejor que yo, ¿cierto?",,"Yritätkö sanoa pitäväsi DOSista enemmän kuin minusta, niinkö?","Vous essayez de dire que vous aimez DOS
mieux que moi, pas vrai?","Azt akarod mondani, hogy
a DOS jobb nálam?","Stai cercando di dire che il DOS
ti piace più di me, vero?","貴方はこちらよりも
デスクトップの方が好みらしいな?","나보다 DOS가 훨씬 좋다 이 말씀이지, 그런 거지?",Probeer je te zeggen dat DOS jou beter bevalt dan mij?,"Du prøver å si at du liker DOS bedre enn meg, ikke sant?","Próbujesz powiedzieć, że wolisz DOS
ode mnie, prawda?","Tá querendo dizer que você gosta mais
do DOS do que eu, é isso?","Estás a tentar dizer que gostas mais do 
do DOS do que eu, é isso?","Încerci să spui că-ți place de sistemul DOS mai mult
decât de mine, așa-i?","Ты хочешь сказать, что DOS тебе нравится больше, чем я, а?","Више ти допада DOS
него ја, је ли?","DOS'u benden daha çok sevdiğini söylemeye çalışıyorsun, değil mi?"
"Don't leave yet -- there's a
demon around that corner!",QUITMSG5,,,,"Ještě nechoď -- tam
za rohem je démon!","Du må ikke gå endnu - der er en
dæmon rundt om det hjørne!","Bitte gehe noch nicht - hinter
der Ecke da lauert ein Dämon.","Μη φύγεις ακόμα, είναι ένας δαίμονας πίσω απο αυτή τι γονία!","Ne foriru ankoraŭ, estas
demono ĉirkaŭ tiu angulo!","No te vayas aún, ¡que hay un
demonio cerca de esa esquina!",,Älä lähde vielä -- tuon kulman takana on demoni!,"Ne partez pas encore! Il y a 
un démon dans le coin!",Még ne menj -- a sarkon túl még vár rád egy démon!,"Non abbandonare ora - c'è un
demone dietro l'angolo!","待ってくれ!まだあそこの角に
デーモンが残っているんだ!",나가지 마- 저 구석에 악마가 숨어있다고!,Ga nog niet weg - er is een demoon hier om de hoek!,Ikke gå ennå. Det er en demon rundt hjørnet.,"Nie odchodź jeszcze -- demon czai
się w tamtym zaułku!","Não vá embora ainda, tem um
demônio naquele canto!","Não te vás embora agora -- Está um
demônio ao virar da esquina!",Nu pleca încă -- e un demon după colțul acela!,"Не уходи! За тем углом
притаился ещё один монстр!","Немој да одеш --
иза угла има још један демон!","Hemen gitme, şu köşede bir iblis var!"
