default,Identifier,Remarks,Filter,eng enc ena enz eni ens enj enb enl ent enw,cs,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hu,it,ko,pl,pt,ptg,ro,ru,sr
,,,,,,,,,,,,,,,,,,,,,
These bugs too tough for ya?,QUITMSG1,,,,Jsou ty bugy na tebe moc tvrdé?,Sind diese Bugs zu viel für dich?,,,¿Son estos bichos demasiado duros para ti?,,,Ces bestioles sont trop fortes pour vous?,,Questi errori sono troppo difficili per te?,고작 버그들 상대하는 것도 버거운 건가?,,"Tá achando difícil eliminar esses bichos, é?",,,Эти баги для тебя сложные?,
Are you sure you want to\njack out of the action?,QUITMSG,,,,"Jsi si jistý, že se chceš
zdáchnout z akce?","Bist du sicher, dass du den\nStecker ziehen willst?",,,¿Estás segur@[ao_esp] de que\nquieres desconectarte de la acción?,,,Etes-vous sûr de vouloir\nvous déconnecter de l'action?,,Sei sicuro di voler uscire?,"지금 종료하겠다고?

진심이냐?",,Tem certeza que quer se desconectar de toda a ação? ,,,Ты правда хочешь выйти\nиз зоны веселья?,
Trying to quit? And you call yourself a hacker?,QUITMSG2,,,,Snažíš se skončit? To si říkáš hacker?,Du willst gehen? Bist du wirklich ein Hacker?,,,¿Intentando salir? ¿Y te haces llamar hacker?,,,On essaye de quitter?\nvous prétendez être un hacker?,,Stai cercando di smettere?\nE ti definisci un hacker?,그만두려고? 해커라는 이름이 아깝군그래.,,Tá querendo sair? E você ainda se considera um hacker?,,,Уходишь? И после этого зовёшься хакером?,
Get back here before I send a virus up your tailpipe!,QUITMSG3,,,,"Vrať se, než ti do zadku pošlu virus!","Komm zurück, oder ich schick dir 'nen Virus!",,,¡Vuelve aquí antes de que te meta un virus de través!,,,Reviens ici avant que je t'envoie un virus là où ça fait mal!,,Torna indietro o ti\nmanderò un virus!,"돌아와, 네 전선에 바이러스 주입해버리기 전에!",,Volta aqui antes que eu te mande um vírus!,,,"Давай сваливай, пока я тебе вирус не подсадил!",
Real hackers never jack out of the action.,QUITMSG4,,,,Skuteční hackeři nikdy neprchají z akce.,Echte Hacker geben nicht auf!,,,Los verdaderos hackers no se desconectan de la acción.,,,Un vrai hacker ne se déconnecte pas en pleine action.,,I veri hacker non si arrendono!,진정한 해커는 이렇게 포기하지 않는다고!,,Hackers de verdade nunca vazam da ação!,,,Хакеры не уходят с заданий.,
C'mon! You haven't seen the best part yet!,QUITMSG5,,,,No tak! Ještě jsi neviděl to nejlepší!,Komm schon. Du hast das Beste noch gar nicht gesehen!,,,¡Venga! ¡Aún no has visto la mejor parte!,,,"Allez, on arrive presque à la meilleure partie!",,"Andiamo, forza! Non hai ancora\nvisto la parte migliore!",이봐! 아직 재밌는 부분은 시작도 안 했다고!,,Qual é! Você nem viu a melhor parte ainda!,,,Ну же! Ты же лучший момент упустишь!,
"Give up now, and cyberspace is toast!",QUITMSG6,,,,Vzdej se a s kyberprostorem je konec!,Wenn du jetzt aufgibst ist der Cyberspace am Ende.,,,¡Ríndete ahora y el ciberespacio está frito!,,,"Abandonne, et le cyberespace est foutu!",,"Se ti arrendi ora,\nil cyberspazio è finito.",포기하면 사이버 공간은 결국엔 사라질걸?,,"Se você desistir agora, o ciberespaço já era!",,,Сдаёшься? Всё киберпространство теперь уничтожено!,
"GENIE sends its best regards, scumbag!",QUITMSG7,,,,"GENIE posílá své pozdravy, hajzle!","GENIE sendet seine besten Grüße, Mistkerl!",,,"¡GENIE te envía saludos, desgraciado!",,,"GENIE t'envoie ses salutations, salaud!",,"GENIE manda i suoi\nmigliori saluti, bastardo!",어이 등신! 지니에서 안부를 전해 달라더군.,,"GENIE manda lembranças, seu lixo!",,,"ГЕНИЙ тебя ""поздравляет"", сволочь!",
